"id","lon","lat","sum_raw","mean_raw","median_raw","sum_obj","mean_obj","median_obj","served_lsoa_i"
92,-0.472057885272936,51.553446136477,158779188.802568,4834.3438315238,3513.70270663375,2301987125135711,70088513126.7724,20210878027.7493,76
93,-0.398773720146678,51.5709429484156,158799037.165804,4834.94815387298,3514.73873207099,2302857520339054,70115014015.9254,20219774016.5045,75
94,-0.673674261441182,51.5374277189009,158857603.287864,4836.7313143303,3515.06022503671,2303364501330556,70130450046.6008,20251997475.5365,42
95,-0.683526323110248,51.5550776570075,158883533.336737,4837.52080552726,3518.06114497061,2303535771421636,70135664700.4517,20272115636.9362,31
96,-0.685525201100691,51.5672870255694,158882119.001989,4837.47774333177,3517.69979234939,2303486397926490,70134161427.5511,20272115636.9362,31
97,-0.755991168734231,51.5506968479962,158912391.28801,4838.39944245555,3519.73672374342,2304025075801946,70150562532.0286,20310067630.8764,16
98,-0.456198181691081,51.5164496388682,158720799.70394,4832.56606089211,3508.79157183925,2301049963260392,70059979395.3353,20154551434.1715,88
99,-0.714007703880471,51.5261610451638,158896019.030913,4837.90095697579,3519.67856899367,2303900977306424,70146784109.9264,20310067630.8764,42
100,-0.423470476046258,51.5177087428347,158731981.388584,4832.90650921277,3511.1310931733,2301369820609904,70069718079.7072,20176669725.481,103
101,-0.410520275859723,51.5289733259482,158775029.76808,4834.21720156132,3514.61440050976,2301991429024033,70088644167.0939,20216742669.4891,108
102,-0.657252822581842,51.5301332034273,158827258.888989,4835.80741958924,3514.28004711611,2303116475906379,70122898426.0863,20218428320.237,45
103,-0.629522385226727,51.5310371761704,158812843.092833,4835.36850240024,3514.44126851822,2302971143985717,70118473510.7087,20210878027.7493,52
104,-0.60624488508861,51.5187667670508,158831140.982319,4835.92561753497,3514.97261683947,2303167775646238,70124460347.2853,20219774016.5045,58
105,-0.596055527280592,51.5334215814194,158857235.764584,4836.72012436319,3515.84838010855,2303365128288496,70130469135.565,20250131384.4338,48
106,-0.430288274718286,51.5118015167773,158731037.035749,4832.87775653844,3509.49095062191,2301291574661080,70067335728.3242,20155399220.7119,93
107,-0.543775304313902,51.5259179881389,158908448.715211,4838.27940309374,3519.78460360849,2303826315360966,70144510880.5555,20310067630.8764,34
108,-0.492185865195168,51.5254102787401,158784629.639704,4834.50948848202,3513.81432177293,2301824617429512,70083565260.9156,20216742669.4891,66
109,-0.544211457351473,51.5423584013378,158922771.018456,4838.71547370772,3519.78460360849,2304060697477671,70151647103.8141,20322433897.1252,38
110,0.795601485682651,51.5413728038889,158910222.592646,4838.33341227152,3519.73672374342,2304038038232254,70150957198.6437,20310067630.8764,24
111,0.736413462073955,51.5324385062309,158779696.65673,4834.35929413987,3514.04509110668,2302173163137063,70094177418.6172,20216742669.4891,63
112,0.719711887538517,51.4565920621757,158852601.703412,4836.57903128157,3519.72550703154,2302572214703487,70106327326.254,20300443058.7446,23
113,0.78418234714329,51.5235319289005,158922794.232186,4838.71618049526,3519.85998217857,2304084639960704,70152376079.6707,20317760104.8986,49
114,0.763746671579892,51.5273951520604,158861928.832989,4836.86301403571,3517.33681441654,2303192011868665,70125198266.6138,20272115636.9362,58
115,0.704859128651841,51.5537821415565,158711082.754624,4832.2702093114,3508.15817165655,2301468578002889,70072724942.2387,20134435113.9476,74
116,0.664175571764195,51.5559131973202,158732639.943301,4832.9265602028,3511.28502514402,2301805643486506,70082987562.0054,20182305340.2304,75
117,0.676450336973828,51.5445349499217,158712575.39436,4832.31565565583,3509.61574869348,2301537620018326,70074827061.8172,20154551434.1715,75
118,0.657372497786954,51.5655882000771,158772112.230182,4834.12837139757,3513.81432177293,2302215344480058,70095461712.3389,20208558355.8808,76
119,0.663040965130137,51.5755873253794,158810719.457809,4835.30384416664,3514.89261528599,2302589119938679,70106842039.2973,20219774016.5045,72
120,0.61665422815804,51.5153500316453,158885543.256812,4837.58200148619,3519.67856899367,2303606614197212,70137821647.7047,20299220893.6615,40
121,0.620078018217877,51.5235534522247,158873060.644241,4837.20194386314,3518.76651176415,2303411936290591,70131894296.9977,20286416760.8295,54
122,0.598698298327995,51.5988433294033,158893515.912397,4837.82474462296,3519.67856899367,2303889749184765,70146442247.7398,20286416760.8295,24
123,0.593348197094027,51.5447789141898,158914881.413304,4838.47525920425,3519.5785294439,2304045885883142,70151196135.7673,20300443058.7446,32
124,0.538687245295423,51.5963900414224,158874715.164669,4837.25231898274,3515.52720982648,2303609188666532,70137900032.4727,20259763068.8892,33
125,0.503259792714503,51.5490879625222,158896781.787526,4837.92418059693,3519.73672374342,2303744390480990,70142016516.8978,20300443058.7446,28
126,0.538173143103054,51.6190185966565,158870938.639863,4837.13733527778,3516.53410691464,2303576878993486,70136916301.1048,20260723321.5036,24
127,0.497482335153051,51.5764273778341,158927385.803989,4838.85597990468,3520.20236431337,2304167190495768,70154889492.6248,20322433897.1252,60
128,0.434673706188387,51.5458400087984,158808166.602598,4835.22611748259,3514.5034976939,2302618945672420,70107750142.261,20212754134.0809,51
129,0.454980715947885,51.577364811177,158834817.469065,4836.037555385,3515.31154807446,2303034643393952,70120406874.7397,20250131384.4338,50
130,0.413527617065612,51.5067920462372,158857537.63076,4836.72931527098,3516.00710065657,2303269232823794,70127549410.0534,20260723321.5036,29
131,0.354070245374446,51.5829808404978,158892283.443857,4837.78721970093,3519.73672374342,2303608870826166,70137890355.1993,20300443058.7446,22
132,0.41038276489026,51.5785108609385,158831080.220283,4835.92376751563,3515.00592266206,2302997471737324,70119275110.7455,20245093582.8617,40
133,0.317337053851418,51.510599345058,158848704.065172,4836.46036004055,3516.00710065657,2303050864444058,70120900756.4261,20260723321.5036,41
134,0.330471112134275,51.5901301618587,158899023.12309,4837.99242245432,3519.18268526671,2303739891579464,70141879539.0167,20293448639.3304,23
135,-0.296548629407532,51.5258020987783,158823475.754123,4835.69223462803,3514.44126851822,2303120612296056,70123024366.5831,20219774016.5045,75
136,-0.319011545666665,51.5276220869715,158807570.806181,4835.20797729207,3514.04509110668,2303023820179409,70120077340.7444,20219774016.5045,80
137,-0.239620454996094,51.5213987968625,158905111.617323,4838.1777986032,3519.18268526671,2303930943217096,70147696480.8518,20273768158.2309,182
138,-0.259772518963378,51.5078859540079,158872388.489055,4837.18147878014,3519.5785294439,2303801154425290,70143744806.5184,20299220893.6615,95
139,-0.369608700718153,51.5095656371318,158855806.859042,4836.67661853129,3517.8546122951,2303439919991989,70132746315.6738,20278615889.173,79
140,-0.349572638082994,51.512680044558,158862423.939775,4836.87808853293,3518.45905570338,2303655965630622,70139324248.8924,20293448639.3304,73
141,-0.31179563027566,51.503782986504,158866551.529814,4837.00376110748,3518.06114497061,2303709647783037,70140958707.3145,20287599925.4127,69
142,-0.309844669201381,51.509323933531,158847129.390927,4836.41241599463,3517.33681441654,2303512084826986,70134943515.6189,20269549560.0457,75
143,-0.294405143970603,51.5105339338857,158864084.716892,4836.92865414968,3516.84832476512,2303604988850922,70137772160.8489,20272115636.9362,77
144,-0.20340189893546,51.5027945867675,158534709.951396,4826.90019338072,3490.09670751499,2300386778647790,70039787439.0388,19910111638.1261,252
145,-0.238909701262607,51.4969733736754,158731370.080386,4832.88789673565,3508.10085507462,2302457138850776,70102823616.2092,20139972902.8015,167
146,-0.290881989333603,51.4972519511528,158924861.476741,4838.77912181042,3519.73672374342,2304153963437956,70154486768.9062,20322433897.1252,64
147,-0.319277520276898,51.4888434375528,158914900.52642,4838.47584114054,3520.20236431337,2304105483708383,70153010708.4516,20317760104.8986,30
148,-0.349131876681032,51.4903563260971,158926655.862208,4838.83375539544,3520.20236431337,2304168641871097,70154933682.5934,20317760104.8986,30
149,-0.361271968044694,51.5039427333013,158874257.182173,4837.23837480736,3519.5785294439,2303663094275910,70139541294.4803,20287599925.4127,77
150,-0.296989340547882,51.4774931114312,158918122.977921,4838.573954997,3520.20236431337,2304134705437784,70153900421.3185,20317760104.8986,17
151,-0.309690546097992,51.4787956667977,158920364.190067,4838.64219309668,3520.20236431337,2304144647093958,70154203114.5402,20322433897.1252,15
152,-0.195138431583699,51.4769042095124,158603165.740009,4828.98446413377,3498.03785843135,2301275725890112,70066853181.4064,20031900395.3804,191
153,-0.204005372534127,51.462384849067,158744097.231876,4833.27539982573,3508.15817165655,2302494681948280,70103966689.4495,20127839111.9584,156
154,-0.309684487662704,51.4691627599082,158926119.8191,4838.81743451162,3520.20236431337,2304171609891640,70155024049.8003,20322433897.1252,14
155,-0.234973055167203,51.4683106028783,158785246.139752,4834.52825903519,3509.79035162172,2302879587176363,70115685884.069,20173502744.5732,121
156,-0.232110294688459,51.4705453875289,158761431.355376,4833.8031712147,3508.88080989962,2302656456892126,70108892244.9192,20155399220.7119,127
157,-0.371432865942104,51.4737677956126,158863611.013926,4836.91423133376,3518.76651176415,2303570633506042,70136726144.9897,20278615889.173,64
158,-0.355182428446975,51.4676065981363,158885834.021269,4837.59085438036,3519.78460360849,2303874493180232,70145977748.7588,20301819375.949,54
159,0.0902677454730366,51.5311955463893,158895808.505667,4837.89454712177,3519.6106969824,2303818957170856,70144286846.0253,20299220893.6615,54
160,0.070277500347425,51.4643111145289,158869714.296444,4837.10005774096,3516.84832476512,2303654163419773,70139269377.0482,20259763068.8892,64
161,0.0770515166794804,51.4756348894976,158827305.690307,4835.80884454717,3515.06022503671,2303251570941082,70127011659.3923,20235462553.0036,87
162,0.097799603884993,51.4812108564614,158799582.730602,4834.9647646633,3513.81432177293,2302848034339121,70114725196.0517,20202129222.2019,91
163,0.0792783742349418,51.4608691225657,158887557.338224,4837.64332414517,3517.33681441654,2303810641314011,70144033653.453,20266617795.0174,58
164,0.0861252714081064,51.5452162979222,158928725.758192,4838.89677743855,3520.20236431337,2304184488824642,70155416174.1762,20322433897.1252,66
165,0.0527783193157757,51.5291421778093,158855990.459529,4836.68220860825,3520.20236431337,2303642563980756,70138916209.3763,20304188241.0072,77
166,0.0699291442430176,51.569522466661,158921908.866773,4838.6892238087,3519.85998217857,2304126060586611,70153637211.8686,20310067630.8764,66
167,0.0598131168910199,51.5849077438058,158872370.385579,4837.18092758429,3518.45905570338,2303725759092336,70141449247.7267,20273768158.2309,54
168,0.0661849272189046,51.6005407176287,158855155.706273,4836.65679290807,3517.33681441654,2303519858565936,70135180202.3485,20266617795.0174,56
169,0.0426810068890274,51.4895868113168,158855307.917511,4836.66142727777,3517.60581754224,2303570932208839,70136735239.5822,20266617795.0174,65
170,0.0662600768070618,51.5502485399584,158887760.3525,4837.64950531299,3520.20236431337,2303900872200450,70146780909.7689,20317760104.8986,59
171,0.0812855034753791,51.548355754082,158916763.241598,4838.53255515764,3520.20236431337,2304114385448060,70153281739.3758,20322433897.1252,53
172,0.0918269025233422,51.5566376052224,158884469.970222,4837.54932317081,3517.33681441654,2303769004274225,70142765932.1101,20274716596.7099,75
173,0.0427202359333893,51.4753997227563,158844716.20403,4836.33894178633,3517.69979234939,2303493476689316,70134376954.3696,20266617795.0174,69
174,0.0443264917401463,51.480438195401,158840745.655819,4836.21805065823,3517.60581754224,2303456377707392,70133247403.0992,20266617795.0174,70
