"index","objective"
603,2302914556684218
604,2303817026679122
605,2300703696093312
606,2303645268218314
607,2303582597449659
608,2299666700477672
609,2300871427206566
610,2302760601460808
611,2300564862930934
612,2292686022683014
613,2303864518679792
614,2303570540533032
615,2304057772437264
616,2304015819164470
617,2303139431340830
618,2299337239872107
619,2303610564645746
620,2303741462256126
621,2302797702526298
622,2304038251106720
623,2303767654518756
624,2303091748686056
625,2303524530479329
626,2302779111247400
627,2303851997731798
628,2302174233127079
629,2294438883350587
630,2303625304695236
631,2304031486500789
632,2304084752901653
633,2299280119897771
634,2304156029614217
635,2298983170107803
636,2302894032647155
637,2299240216891530
638,2303056081102630
639,2299598959777223
640,2299646605778994
641,2304040671341305
642,2303224184853806
643,2299822509381432
644,2303350380345442
645,2303466803048677
646,2299411015440258
647,2303336854131417
648,2303740837595636
649,2304080529308714
650,2300861283384500
651,2303362912769368
652,2303369766193102
653,2303451167480824
654,2304098116265738
655,2302945125688658
656,2302986796737976
657,2303936873910279
658,2300521942145754
659,2303995603887971
660,2303850608821571
661,2303634176866578
662,2304084741495031
663,2301357316577192
664,2304067931475933
665,2299887547103086
666,2303010592466286
667,2303743801821096
668,2301990473697000
669,2297774035503443
670,2303057669852509
671,2300971962742814
672,2304068192306528
673,2302020498458416
674,2297056085338689
675,2302140759847789
676,2301258962801878
677,2303912683396529
678,2301079625081214
679,2303567394904277
680,2303867912546396
681,2298662155255568
682,2303051917559304
683,2297724117576334
684,2302678741929854
685,2302529208072768
686,2303262156957550
687,2304036611989054
688,2303788087445950
689,2302914862519228
690,2299413861131684
691,2300382610225176
692,2304066517130000
693,2303610850277262
694,2304030809833836
695,2300285655238817
696,2304094606261502
697,2304075867768448
698,2299354222813516
699,2303419629757720
700,2304135704119156
701,2301633679156682
702,2304109152549571
703,2299959423622090
704,2303909832727112
705,2302098840992302
706,2301911397307268
707,2302586422020407
708,2303694514705844
709,2302050905409108
710,2301962877766797
711,2303243837369895
712,2303273404194067
713,2303806684490919
714,2303476861968886
715,2304066862471900
716,2300236631708417
717,2303927162152432
718,2303281365701759
719,2303272672783411
720,2302483193846514
721,2301240649329905
722,2303992508208398
723,2303043017512114
724,2303587823685086
725,2303671149609721
726,2303622559086080
727,2298753339539307
728,2302909916800606
729,2303153051054356
730,2304047807127980
731,2303061857634058
732,2299358002607944
733,2303782654463290
734,2303202778519192
735,2303557059558606
736,2303592037871326
737,2303436425326284
738,2303621265509330
739,2303058169942546
740,2302977145477008
741,2296652149231150
742,2304134306266157
743,2303613159038161
744,2303560055130169
745,2303132033373221
746,2303576672599047
747,2301466898128832
748,2301881905864644
749,2302158381712589
750,2301184021220419
751,2303808912078370
752,2304079616437334
753,2304119854763360
754,2296998893915578
755,2304060980079134
756,2297206023205545
757,2302863352614098
758,2297319388458038
759,2304024636951080
760,2299916249876341
761,2300950005495448
762,2302069632630714
763,2299595134883216
764,2303778886026014
765,2301598566035914
766,2301702695700507
767,2303955526003207
768,2301631688473453
769,2303955551161311
770,2301886419661217
771,2303929844063056
772,2298171009890592
773,2301820828767339
774,2298470367501327
775,2304010521141853
776,2297469128804440
777,2298904306175760
778,2302037888523470
779,2303378230510464
780,2302954712038068
781,2297401012740121
782,2304010756139189
783,2303698496879068
784,2302434024440862
785,2303419785910360
786,2303606987166009
787,2303779230385386
788,2303870073761702
789,2299213387219872
790,2301202202704374
791,2304149104779607
792,2298645595730806
793,2299251333954910
794,2303875904053472
795,2296185969669566
796,2303641653474325
797,2303533164720494
798,2296262682107598
799,2303620596711474
800,2302013688935772
801,2303961359384360
802,2304187368839024
803,2303956980700834
804,2303374938578232
805,2303049464506735
806,2303461451561704
807,2303975731944170
808,2303601711271228
809,2302712411471150
810,2298577874398642
811,2303791460504660
812,2303607266806518
813,2299014800315808
814,2303795654685370
815,2303944531632670
816,2304061320668324
817,2304130872125153
818,2303790177717282
819,2302002394325665
820,2301944641466040
821,2300665021723598
822,2303036957104850
823,2303960676493309
824,2303563926907898
825,2301497884873519
826,2301800795792681
827,2303863704095020
828,2302269487897036
829,2304065824694230
830,2298051204256947
831,2295929831205402
832,2302648060794382
833,2301814675309396
834,2303989096010574
835,2303684376832460
836,2303080623036126
837,2301887641271796
838,2303709414212241
839,2302523563490236
840,2301418945067144
841,2303001095383139
842,2302796429098142
843,2301985301109516
844,2301116927855962
845,2303334825663935
846,2300937743092631
847,2298502571192353
848,2298737655060958
849,2299428191537572
850,2301848166791042
851,2302564652731580
852,2303215114545088
853,2295030448046284
854,2303401993786878
855,2302914970862452
856,2304035021894098
857,2303299440065386
858,2303158265544172
859,2303584920042192
860,2303333290402863
861,2303322731643980
862,2303195672011822
863,2304101693691282
864,2302337062257854
865,2303103713860174
866,2302414115530267
867,2303941182426958
868,2302910671365486
869,2303694709452565
870,2302391330975214
871,2303861179912196
872,2301926958851126
873,2298870982603776
874,2302345914596766
875,2303927114477106
876,2302051961653932
877,2302053604344554
878,2302058030632264
879,2302171408185108
880,2302138087802208
881,2304048473488349
882,2302475284578529
883,2302064154886600
884,2303636209651997
885,2304086028263649
886,2303798211387590
887,2303793948844456
888,2302437799973798
889,2304033401676286
890,2302427385014744
891,2302785388513624
892,2301714250206106
893,2303677755223423
894,2303673267373662
895,2302980422787674
896,2303691902252085
897,2300675617731616
898,2303676888545168
899,2303392468293048
900,2301976136327684
901,2303314377059751
902,2303670798354368
903,2303917439619470
904,2303441121094636
905,2303979618989020
906,2287263450384258
907,2303386627919173
908,2300264299697536
909,2300782133713408
910,2288030728075189
911,2303482849046496
912,2301790494135597
913,2303376661968872
914,2287764658095424
915,2301965937704444
916,2303717919736274
917,2302206265252076
918,2302884326986970
919,2299009106336708
920,2299560807047100
